,code,name,total_AI_score
1,300494,盛天网络,1.75302482
2,688489,三未信安,1.701816732
3,301185,鸥玛软件,1.514809477
4,300676,华大基因,1.478885974
5,688297,中无人机,1.391762668
6,603444,吉比特,1.3835432
7,600637,东方明珠,1.382596909
8,300533,冰川网络,1.346393313
9,603031,安孚科技,1.285657432
10,300559,佳发教育,1.279507152
11,688165,埃夫特,1.239093149
12,688113,联测科技,1.238358196
13,688262,国芯科技,1.19316769
14,688265,南模生物,1.187449892
15,688039,当虹科技,1.177070732
16,688311,盟升电子,1.1677345
17,300559,佳发安泰,1.165491599
18,601636,旗滨集团,1.163774349
19,688589,力合微,1.143988049
20,688259,创耀科技,1.105428363
21,688113,联测科技,1.098756729
22,688246,嘉和美,1.093301452
23,688008,澜起科技,1.082000413
24,2811,郑中设计,1.081967973
25,688070,纵横股份,1.080806681
26,688238,和元生物,1.036543636
27,603258,电魂网络,1.033480752
28,688244,永信至诚,1.024250658
29,688001,华兴源创,1.02209747
30,688620,安凯微,1.014057919
31,688081,兴图新科,1.010179097
32,601636,旗滨集团,1.010147887
33,301071,力量钻石,0.98958039
34,688531,日联科技,0.983505977
35,300396,迪瑞医疗,0.982570934
36,688298,东方生物,0.981708602
37,12,南玻A,0.981332541
38,300024,机器人,0.979184135
39,688256,寒武纪,0.97854113
40,2624,完美世界,0.976852001
41,570,苏常柴A,0.973304786
42,595,宝塔实业,0.971983234
43,300451,创业软件,0.956883731
44,600819,耀皮玻璃,0.949683233
45,876,新 希 望,0.944049726
46,603022,新通联,0.941175397
47,300884,狄耐克,0.933693066
48,600749,西藏旅游,0.931657489
49,688255,凯尔达,0.930633333
50,688372,伟测科技,0.929375887
51,688767,博拓生物,0.924135836
52,2707,众信旅游,0.921434029
53,688592,司南导航,0.916840947
54,688228,开普云,0.915399541
55,2659,中泰桥梁,0.914123191
56,688327,云从科技,0.911263345
57,688053,思科瑞,0.902251236
58,300887,谱尼测试,0.899174428
59,3005,竞业达,0.886279422
60,301221,光庭信息,0.885172236
61,300760,迈瑞医疗,0.869006176
62,688071,华依科技,0.864531149
63,688135,利扬芯片,0.863457741
64,301330,熵基科技,0.851360972
65,600730,中国高科,0.85064889
66,300639,凯普生物,0.849032255
67,600933,爱柯迪,0.847802364
68,603535,嘉诚国际,0.843821966
69,2389,航天彩虹,0.842957954
70,603569,长久物流,0.837028187
71,2613,北玻股份,0.835229887
72,688365,光云科技,0.834530765
73,300157,恒泰艾普,0.832057371
74,595,ST宝实,0.830596833
75,688458,美芯晟,0.822450085
76,688090,瑞松科技,0.819174642
77,413,东旭光电,0.819143114
78,2747,埃斯顿,0.80891534
79,603569,长久物流,0.808174859
80,584,哈工智能,0.806436792
81,2425,凯撒文化,0.805083397
82,688008,澜起科技,0.804533676
83,688365,光云科技,0.802337523
84,600977,中国电影中国电影,0.796071811
85,300983,尤安设计,0.794731447
86,832317,观典防务,0.789805677
87,301528,多浦乐,0.786725401
88,838030,德众汽车,0.786697155
89,1308,康冠科技,0.784982989
90,600819,耀皮玻璃,0.784837565
91,2811,亚泰国际,0.781372856
92,600207,安彩高科安彩高科,0.780989392
93,688169,石头科技,0.779413739
94,688521,芯原股份,0.777953962
95,688246,嘉和美康,0.77775458
96,2932,明德生物,0.776499926